title,original_title,budget,genre,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,link.type,link.url,link.suggested_link_text,multimedia.type,multimedia.src,multimedia.height,multimedia.width,multimedia
What's Love Got to Do with It?,What's Love Got to Do with It?,0,"Romance, Comedy",en,"English, Urdu",,Two childhood friends now in their thirties must decide whether to follow their heads or their hearts once the man decides to follow his parents' advice and enter into an arranged marriage in Pakistan.,26.487,109,10898395,2023-01-26,6.149,94,United Kingdom,PG-13,0,Jeannette Catsoulis,Review: ‘What’s Love Got to Do With It?’ Probably a Lot,Two childhood friends navigate cultural differences in this pleasantly uncontentious romantic comedy.,2023-05-04,2023-05-05,2023-05-04 17:17:05,article,https://www.nytimes.com/2023/05/04/movies/whats-love-got-to-do-with-it-review.html,Read the New York Times Review of What's Love Got to Do with It?,mediumThreeByTwo210,https://static01.nyt.com/images/2023/05/04/multimedia/whats-love1-fbmh/whats-love1-fbmh-mediumThreeByTwo440.jpg,140.0,210.0,
A Tourist's Guide to Love,A Tourist's Guide to Love,0,"Romance, Comedy, Adventure",en,English,https://www.netflix.com/title/81424906,"After an unexpected break up, a travel executive accepts an assignment to go undercover and learn about the tourist industry in Vietnam. Along the way, she finds adventure and romance with her Vietnamese expat tour guide and they decide to hijack the tour bus in order to explore life and love off the beaten path.",35.446,96,0,2023-04-21,6.404,120,United States of America,TV-PG,0,Elisabeth Vincentelli,‘A Tourist’s Guide to Love’ Review: A Wearyingly Familiar Trip,Rachael Leigh Cook stars in this bland rom-com as a travel executive exploring Vietnam and getting over a breakup.,2023-04-21,2023-04-21,2023-04-21 07:04:03,article,https://www.nytimes.com/2023/04/21/movies/a-tourists-guide-to-love-review.html,Read the New York Times Review of A Tourist's Guide to Love,mediumThreeByTwo210,https://static01.nyt.com/images/2023/04/21/multimedia/21tourists-guide-to-love-review1-qhwp/21tourists-guide-to-love-review1-qhwp-mediumThreeByTwo440.jpg,140.0,210.0,
One True Loves,One True Loves,0,"Romance, Drama, Comedy",en,English,,"Emma and Jesse are living the perfect life together, until Jesse disappears in a tragic helicopter crash on their first wedding anniversary. Four years later, Emma has found happiness again and is about to marry her best friend when Jesse resurfaces, turning her world upside down and leaving her torn between two great loves.",58.73,100,37820,2023-04-07,6.817,30,"Germany, United States of America",PG-13,0,Brandon Yu,‘One True Loves’ Review: A Romance Lost at Sea,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",2023-04-13,2023-04-14,2023-04-13 11:02:07,article,https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,Read the New York Times Review of One True Loves,mediumThreeByTwo210,https://static01.nyt.com/images/2023/04/13/multimedia/13one-true-loves-review-tflv/13one-true-loves-review-tflv-mediumThreeByTwo440.jpg,140.0,210.0,
Lady Chatterley's Lover,Lady Chatterley's Lover,0,"Drama, Romance",en,English,https://www.netflix.com/title/81476441,Unhappily married aristocrat Lady Chatterley begins a torrid affair — and falls deeply in love — with the gamekeeper on her husband's country estate.,33.251,126,0,2022-09-02,6.604,294,"United Kingdom, United States of America",R,0,A.O. Scott,‘Lady Chatterley’s Lover’ Review: When Connie Met Ollie,The new Netflix adaptation of D.H. Lawrence’s once-controversial novel is both steamy and decorous.,2022-12-01,2022-12-02,2022-12-01 16:41:03,article,https://www.nytimes.com/2022/12/01/movies/lady-chatterleys-lover-review.html,Read the New York Times Review of Lady Chatterley's Lover,mediumThreeByTwo210,https://static01.nyt.com/images/2022/12/01/multimedia/01ladychatterley-1-2403/01ladychatterley-1-2403-mediumThreeByTwo440.jpg,140.0,210.0,
Meet Me in the Bathroom,Meet Me in the Bathroom,0,"Documentary, Music",en,English,https://www.meetmeinthebathroomfilm.com/,"Set against the backdrop of 9/11, this documentary tells the story of how a new generation kickstarted a musical rebirth for New York City that reverberated around the world.",6.626,108,0,2022-11-04,5.2,9,"United Kingdom, United States of America",,0,Glenn Kenny,‘Meet Me in the Bathroom’ Review: New York’s Last Rock Renaissance,The post-post punk New York rock scene gets an archival retrospective in this documentary.,2022-11-03,2022-11-25,2022-11-03 11:05:03,article,https://www.nytimes.com/2022/11/03/movies/meet-me-in-the-bathroom-review.html,Read the New York Times Review of Meet Me in the Bathroom,mediumThreeByTwo210,https://static01.nyt.com/images/2022/11/04/arts/meetme1/meetme1-mediumThreeByTwo440.jpg,140.0,210.0,
I Love My Dad,I Love My Dad,0,Comedy,en,English,http://www.magpictures.com/ilovemydad/,A hopelessly estranged father catfishes his son in an attempt to reconnect.,5.971,90,0,2022-08-05,5.859,32,United States of America,R,0,Glenn Kenny,‘I Love My Dad’ Review: A Father Catfishes His Son,This comedy is a daddy-issues movie with a queasy premise truly made for these times.,2022-08-04,2022-08-05,2022-08-04 11:01:03,article,https://www.nytimes.com/2022/08/04/movies/i-love-my-dad-review.html,Read the New York Times Review of I Love My Dad,mediumThreeByTwo210,https://static01.nyt.com/images/2022/08/04/arts/04lovemydad/04lovemydad-mediumThreeByTwo440.jpg,140.0,210.0,
Art of Love,Simone,0,"Drama, Romance",es,"English, Spanish",,"A mysterious, erotic and haunting love story between a writer/professor at Puerto Rico's leading University and an aspiring artist from the immigrant Chinese community.",5.179,116,0,2021-10-14,3.2,5,Puerto Rico,,0,Concepción de León,‘Art of Love’ Review: An Erotic Male Fantasy in Puerto Rico,"A disillusioned college professor develops a relationship with a young Chinese woman, in a familiar and worn-out narrative.",2022-07-21,2022-07-22,2022-07-21 13:22:03,article,https://www.nytimes.com/2022/07/21/movies/art-of-love-review.html,Read the New York Times Review of Art of Love,mediumThreeByTwo210,https://static01.nyt.com/images/2022/07/21/arts/21art-of-love-2/merlin_209988828_c2baf255-9cba-4a77-b8a8-0165fa7e8ffd-mediumThreeByTwo440.jpg,140.0,210.0,
"My Donkey, My Lover & I",Antoinette dans les Cévennes,0,"Comedy, Adventure, Romance",fr,French,,"Antoinette, a school teacher, is looking forward to her long planned summer holidays with her secret lover Vladimir, the father of one of her pupils. When learning that Vladimir cannot come because his wife organized a surprise trekking holiday in the Cévennes National Park with their daughter and a donkey to carry their load, Antoinette decides to follow their track, by herself, with Patrick, a protective donkey.",9.361,97,0,2020-09-16,6.465,297,"Belgium, France",,0,Beatrice Loayza,"‘My Donkey, My Lover & I’ Review: Three’s a Crowd","In this idiosyncratic comedy from France, a besotted schoolteacher crashes her married lover’s hiking trip and befriends a deeply opinionated donkey.",2022-07-21,2022-07-22,2022-07-21 11:01:07,article,https://www.nytimes.com/2022/07/21/movies/my-donkey-my-lover-i-review.html,"Read the New York Times Review of My Donkey, My Lover & I",mediumThreeByTwo210,https://static01.nyt.com/images/2022/07/21/lens/21-cul-my-ass-2/merlin_210037230_9f54ab49-8dfa-4fbb-8b3d-53b195da5e5d-mediumThreeByTwo440.jpg,140.0,210.0,
Thor: Love and Thunder,Thor: Love and Thunder,250000000,"Fantasy, Action, Comedy",en,English,https://www.marvel.com/movies/thor-love-and-thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",190.446,119,760928081,2022-07-06,6.536,6328,United States of America,PG-13,0,Manohla Dargis,‘Thor: Love and Thunder’ Review: A God’s Comic Twilight,"The director Taika Waititi injects antic silliness, once again, into this Marvel franchise starring Chris Hemsworth, who swings a mighty hammer and flexes mightier muscles.",2022-07-07,2022-07-08,2022-07-07 18:27:03,article,https://www.nytimes.com/2022/07/07/movies/thor-love-and-thunder-review.html,Read the New York Times Review of Thor: Love and Thunder,mediumThreeByTwo210,https://static01.nyt.com/images/2022/07/08/arts/08wkd-ttd-Thor/08wkd-ttd-Thor-mediumThreeByTwo440.jpg,140.0,210.0,
Anaïs in Love,Les Amours d’Anaïs,0,"Drama, Romance, Comedy",fr,French,,"Anaïs is thirty and broke. She has a lover, but she’s not sure she loves him anymore. She meets Daniel, who immediately falls for her. But Daniel lives with Émilie – whom Anaïs also falls for.",8.428,98,0,2021-09-15,6.358,106,France,,1,Manohla Dargis,‘Anaïs in Love’ Review: Portrait of a Woman on the Run,"A restless woman discovers herself in a seductive French romance that throws out the usual dusty script about women, desire and pleasure.",2022-04-28,2022-04-29,2022-04-28 16:19:06,article,https://www.nytimes.com/2022/04/28/movies/anais-in-love-review.html,Read the New York Times Review of Anaïs in Love,mediumThreeByTwo210,https://static01.nyt.com/images/2022/04/28/arts/28anais-review1/merlin_205816881_ce240c0b-7256-4dfb-9a2c-47c10e13d8d4-mediumThreeByTwo440.jpg,140.0,210.0,
